,tweet_id,text,favorite_count,retweet_count,created_at
47,1387810611476582400,"RT @nsitharaman: “ Covaxin, India's home-grown COVID-19 vaccine, has been found to neutralise the 617 variant of the deadly virus...” Dr. F…",0,3137,Thu Apr 29 16:46:48 +0000 2021
48,1387810589741772802,"RT @nsitharaman: “ Covaxin, India's home-grown COVID-19 vaccine, has been found to neutralise the 617 variant of the deadly virus...” Dr. F…",0,3137,Thu Apr 29 16:46:43 +0000 2021
49,1387810585807515648,RT @Sanjay_Dixit: Congress eco system is squarely responsible for every 45 years plus death in the country. In their eagerness to lobby for…,0,1769,Thu Apr 29 16:46:42 +0000 2021
50,1387810582926020609,RT @ianuragthakur: https://t.co/vDoagOPNvZ,0,118,Thu Apr 29 16:46:41 +0000 2021
51,1387810579146969091,"TNT | HEALTH

How can #COVID vaccine protect you - Explainer 
#CovidIndia #CovishieldVaccine #Covaxin 
DETAILS: https://t.co/92MOn1Kpat",0,0,Thu Apr 29 16:46:40 +0000 2021
52,1387810575804030976,RT @ianuragthakur: https://t.co/vDoagOPNvZ,0,118,Thu Apr 29 16:46:40 +0000 2021
53,1387810558867431425,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:46:36 +0000 2021
54,1387810552848683008,RT @samal_deepti: ये BJP का Vaccine है बोल के कुछ विपक्षी पार्टी लोगों को लगवाने मना कर रहे थे जैसे कि Vaccine उनके पार्टी office मे तयार…,0,14,Thu Apr 29 16:46:34 +0000 2021
55,1387810551443587072,In the next 15 days Gujarat will receive 2.5 crore vaccine doses of Covishield and Covaxin. Kudos @vijayrupanibjp s… https://t.co/vnQest6or5,23,7,Thu Apr 29 16:46:34 +0000 2021
56,1387810522393763842,"RT @nsitharaman: “ Covaxin, India's home-grown COVID-19 vaccine, has been found to neutralise the 617 variant of the deadly virus...” Dr. F…",0,3137,Thu Apr 29 16:46:27 +0000 2021
57,1387810519919304710,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:46:26 +0000 2021
58,1387810512386203648,RT @vijayanpinarayi: Kerala will purchase 1 crore doses of #COVID19 vaccines from the open market. 70L doses of Covishield and 30L doses of…,0,1762,Thu Apr 29 16:46:25 +0000 2021
59,1387810496061923328,"RT @nsitharaman: “ Covaxin, India's home-grown COVID-19 vaccine, has been found to neutralise the 617 variant of the deadly virus...” Dr. F…",0,3137,Thu Apr 29 16:46:21 +0000 2021
60,1387810495256616964,"RT @veekay122002: So Pfizer at INR1500 is good and ok !

But Covishield and Covaxin at INR 600 is not ok !

Please reduce to INR 300 ...",0,675,Thu Apr 29 16:46:20 +0000 2021
61,1387810461299576836,"RT @BharatBiotech: Bharat Biotech - COVAXIN® Announcement - April 29, 2021 https://t.co/RgnROIfUCe",0,1902,Thu Apr 29 16:46:12 +0000 2021
62,1387810450612523009,"RT @KasthuriShankar: Covaxin Prices Reduced For States Day After Covishield Prices Cut, to cost Rs 400 now . Private institutions will stil…",0,3,Thu Apr 29 16:46:10 +0000 2021
63,1387810437958234113,"RT @oneabovall: Vaccine is a vaccine it helps u fight the virus.
Don't make it desi or videshi.
Don't call is a party's vaccine.
Don't call…",0,16,Thu Apr 29 16:46:07 +0000 2021
64,1387810415053131777,"RT @Sanju_Verma_: When #Covishield was priced at Rs 400&amp; #Covaxin at 600,Leftist cabal&amp; @INCIndia went hammer&amp;tongs at @narendramodi govt…",0,91,Thu Apr 29 16:46:01 +0000 2021
65,1387810391577620481,"RT @nsitharaman: “ Covaxin, India's home-grown COVID-19 vaccine, has been found to neutralise the 617 variant of the deadly virus...” Dr. F…",0,3137,Thu Apr 29 16:45:56 +0000 2021
66,1387810358262382602,RT @larazon_es: La alarmante advertencia de una doctora desde India: “Vacunados con AstraZeneca se contagian de la nueva variante” ➡ “Comen…,0,3,Thu Apr 29 16:45:48 +0000 2021
67,1387810348544282628,"RT @BharatBiotech: Bharat Biotech - COVAXIN® Announcement - April 29, 2021 https://t.co/RgnROIfUCe",0,1902,Thu Apr 29 16:45:46 +0000 2021
68,1387810332001804288,"@WomanSci The reason covaxin has a better chance against New mutations - as it is a whole virion virus, even if som… https://t.co/10seT5rVHp",1,0,Thu Apr 29 16:45:42 +0000 2021
69,1387810322723921923,"RT @RapperPandit: Connect Dots

1 Pfizer Donates $61.8Mn ~ 460Cr to Joe Biden

2 Covaxin &amp; Covishield developed in India at a very Cheap pr…",0,263,Thu Apr 29 16:45:39 +0000 2021
70,1387810312603066371,@atulkasbekar @bipsluvurself Covaxin also Sir.,0,0,Thu Apr 29 16:45:37 +0000 2021
71,1387810282215411721,"RT @MeghUpdates: #Breaking: Bharat Biotech reduces prices of COVAXIN for  states by ₹ 200. 
States will get vaccine at ₹400.
Centre will ge…",0,936,Thu Apr 29 16:45:30 +0000 2021
72,1387810249537724416,@digodiegodin Estos resultados de proteccion son frente a la vacuna Covaxin elaborada con virion completo inactivad… https://t.co/FIrBrlKotw,0,0,Thu Apr 29 16:45:22 +0000 2021
73,1387810246437969923,"RT @pibchennai: #We4Vaccine:

ஒரு டோசுக்கு ரூபாய் 400 என்று #Covaxin தடுப்பூசியின் விலையை மாநிலங்களுக்கு @BharatBiotech குறைத்துள்ளது.

#La…",0,4,Thu Apr 29 16:45:21 +0000 2021
74,1387810241392234497,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:45:20 +0000 2021
75,1387810211042238473,RT @ANI: Covaxin to be available to State governments at a price of Rs 400 per dose: Bharat Biotech https://t.co/gPPFN7mJQo,0,943,Thu Apr 29 16:45:13 +0000 2021
76,1387810207468638209,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:45:12 +0000 2021
77,1387810200074162179,"RT @maxx99594093: PM is requested to allow other pharma companies to start production of Covishield n Covaxin
Their facility can be used fo…",0,1,Thu Apr 29 16:45:10 +0000 2021
78,1387810196412518400,RT @htTweets: #BharatBiotech decides to reduce the price of its COVID-19 vaccine #Covaxin from Rs 600 per dose to Rs 400 per dose for the s…,0,5,Thu Apr 29 16:45:09 +0000 2021
79,1387810182109876234,"@SuryaHospitals When is Covaxin expected to come back in stock?2nd dose is due for my parents, Kindly advise",0,0,Thu Apr 29 16:45:06 +0000 2021
80,1387810178603442176,"@HehehJoker @navneetmishra99 Aisi koi bat nahi,mai VIP nahi lekin maine Covaxin liya hai.Aap jo lena chahenge wo di… https://t.co/GEG1sKXl6Z",0,0,Thu Apr 29 16:45:05 +0000 2021
81,1387810174258274306,"Why didn't India roll out Covaxin along with CoviShield?
Or another competitor? Sputnik? 
Now everyone is at the me… https://t.co/v0VGNMbeKf",1,1,Thu Apr 29 16:45:04 +0000 2021
82,1387810162891759619,La alarmante advertencia de una doctora desde India: “Vacunados con AstraZeneca se contagian de la nueva variante”… https://t.co/zYl88WvpEp,3,3,Thu Apr 29 16:45:01 +0000 2021
